City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
367,ambanja,22,MG,few clouds,57,-13.68,48.45,66.09,0.0,0,5.23
368,namibe,0,AO,clear sky,71,-15.2,12.15,67.12,0.0,0,4.81
369,cururupu,4,BR,clear sky,91,-1.83,-44.87,73.83,0.0,0,2.21
370,basoko,100,CD,overcast clouds,89,1.24,23.62,71.92,0.0,0,2.19
371,virtsu,59,EE,broken clouds,93,58.57,23.51,60.01,0.0,0,2.24
372,zaysan,93,KZ,overcast clouds,35,47.47,84.87,74.37,0.0,0,6.38
373,isangel,20,VU,few clouds,64,-19.55,169.27,73.4,0.0,0,9.17
374,christchurch,97,NZ,mist,100,-43.53,172.63,52.0,0.0,0,5.82
375,tautira,20,PF,few clouds,65,-17.73,-149.15,80.6,0.0,0,12.75
376,prince rupert,100,CA,light rain,93,54.32,-130.32,59.0,0.0,0,2.24
377,poronaysk,97,RU,light rain,95,49.22,143.12,61.32,0.22,0,3.56
378,gwembe,0,ZM,clear sky,76,-16.5,27.61,47.95,0.0,0,2.57
379,chara,100,RU,moderate rain,86,56.91,118.26,52.54,2.63,0,5.68
380,pokaran,36,IN,scattered clouds,56,26.92,71.92,90.46,0.0,0,17.31
381,kununurra,12,AU,few clouds,25,-15.77,128.73,55.4,0.0,0,5.68
382,puerto cabello,80,VE,broken clouds,82,10.47,-68.01,81.18,0.0,0,10.92
383,lambarene,86,GA,overcast clouds,86,-0.7,10.24,72.55,0.0,0,3.89
384,el dorado,1,US,clear sky,52,33.21,-92.67,93.2,0.0,0,3.36
385,hofn,20,IS,few clouds,57,64.25,-15.21,50.0,0.0,0,19.46
386,franca,2,BR,clear sky,61,-20.54,-47.4,62.94,0.0,0,5.06
387,salair,0,RU,clear sky,84,54.23,85.8,49.46,0.0,0,4.27
388,daigo,75,JP,broken clouds,100,36.77,140.35,78.01,0.0,0,2.24
389,ucluelet,5,CA,clear sky,68,48.93,-125.55,69.8,0.0,0,10.29
390,tutoia,38,BR,scattered clouds,82,-2.76,-42.27,78.69,0.0,0,5.68
391,vila,0,PT,clear sky,57,42.03,-8.16,71.01,0.0,0,2.28
392,labuhan,9,ID,clear sky,84,-6.88,112.21,75.18,0.0,0,7.18
393,aykhal,90,RU,overcast clouds,93,66.0,111.5,53.6,0.0,0,2.24
394,baykit,2,RU,clear sky,73,61.67,96.37,48.83,0.0,0,3.58
395,barabai,60,ID,broken clouds,92,-2.58,115.38,73.18,0.0,0,0.89
396,quatre cocos,75,MU,light intensity shower rain,88,-20.21,57.76,66.99,0.0,0,6.93
397,mukdahan,68,TH,broken clouds,86,16.58,104.5,78.15,0.0,0,5.21
398,lagoa,21,PT,few clouds,79,39.05,-27.98,69.22,0.0,0,12.35
399,mayumba,18,GA,few clouds,92,-3.43,10.66,70.02,0.0,0,2.46
400,kudahuvadhoo,98,MV,light rain,76,2.67,72.89,83.79,0.68,0,17.83
401,maunabo,6,PR,light rain,86,18.01,-65.9,78.01,0.18,0,1.99
402,bedesa,100,ET,light rain,81,8.9,40.78,62.24,0.44,0,6.62
403,zig,1,US,clear sky,63,40.13,-92.77,91.4,0.0,0,12.75
404,bezhta,0,RU,clear sky,72,42.13,46.13,53.31,0.0,0,2.1
405,sanger,1,US,clear sky,26,36.71,-119.56,102.0,0.0,0,7.36
406,whitehorse,75,CA,broken clouds,63,60.72,-135.05,60.8,0.0,0,11.41
407,shatrovo,99,RU,light rain,93,56.52,64.63,65.25,0.27,0,4.85
408,bulgan,49,MN,scattered clouds,87,48.81,103.53,50.04,0.0,0,2.13
409,rundu,0,NA,clear sky,50,-17.93,19.77,55.4,0.0,0,4.7
410,juegang,100,CN,light rain,93,32.32,121.19,77.56,0.34,0,6.42
411,kloulklubed,75,PW,broken clouds,88,7.04,134.26,78.8,0.0,0,4.5
412,tual,61,ID,broken clouds,81,-5.67,132.75,78.48,0.0,0,17.27
413,normandin,75,CA,broken clouds,61,48.83,-72.53,77.0,0.0,0,3.36
414,huangmei,97,CN,light rain,91,30.19,116.03,79.34,0.71,0,4.88
415,novikovo,0,RU,clear sky,87,51.15,37.89,57.56,0.0,0,3.51
416,petropavlovsk-kamchatskiy,100,RU,overcast clouds,63,53.05,158.65,66.2,0.0,0,4.47
417,katangli,99,RU,overcast clouds,93,51.71,143.23,59.72,0.0,0,6.35
418,khor,41,RU,scattered clouds,82,47.89,134.95,75.81,0.0,0,3.13
419,ciudad bolivar,54,VE,light rain,69,8.12,-63.55,82.78,0.67,0,6.8
